,满意度水平,绩效评估,参加项目数,平均每月工时,工作年限,是否有工作事故,五年内是否晋升,职业,薪水,计数,db_labels,km_labels
810,0.84,0.93,5,236,5,0,0,support,medium,1,员工类3,员工类3
811,0.09,0.97,7,288,4,0,0,support,medium,1,员工类2,员工类2
812,0.38,0.49,2,127,3,0,0,support,medium,1,员工类1,员工类1
813,0.15,0.55,6,139,4,0,0,support,high,1,杂类,杂类
814,0.1,0.92,7,253,4,1,0,support,low,1,员工类2,员工类2
815,0.8,0.97,4,218,5,1,0,support,medium,1,员工类3,员工类3
816,0.84,0.97,5,251,5,0,0,support,medium,1,员工类3,员工类3
817,0.11,0.87,6,264,4,0,0,support,medium,1,员工类2,员工类2
818,0.89,0.79,3,149,2,0,0,support,medium,1,杂类,杂类
819,0.45,0.51,2,138,3,0,0,technical,low,1,员工类1,员工类1
820,0.11,0.93,7,284,4,0,0,technical,low,1,员工类2,员工类2
821,0.74,0.93,5,244,5,0,0,technical,low,1,员工类3,员工类3
822,0.41,0.5,2,128,3,0,0,management,low,1,员工类1,员工类1
823,0.44,0.53,2,154,3,0,0,IT,low,1,员工类1,员工类1
824,0.37,0.56,2,138,3,0,0,IT,low,1,员工类1,员工类1
825,0.11,0.86,6,308,4,0,0,IT,low,1,员工类2,员工类2
826,0.1,0.93,6,269,4,0,0,IT,low,1,员工类2,员工类2
827,0.7,0.74,6,136,3,0,0,IT,low,1,杂类,杂类
828,0.59,1.0,2,160,5,0,0,product_mng,low,1,杂类,员工类3
829,0.38,0.53,2,138,3,0,0,product_mng,low,1,员工类1,员工类1
830,0.72,0.95,4,220,5,0,0,product_mng,low,1,员工类3,员工类3
831,0.73,1.0,5,274,5,0,0,product_mng,low,1,员工类3,员工类3
832,0.39,0.48,2,161,3,0,0,IT,low,1,员工类1,员工类1
833,0.89,0.82,5,224,6,0,0,RandD,low,1,员工类3,员工类3
834,0.89,1.0,4,260,5,0,0,RandD,low,1,员工类3,员工类3
835,0.11,0.78,6,300,4,1,0,RandD,low,1,员工类2,员工类2
836,0.43,0.56,2,133,3,0,0,RandD,low,1,员工类1,员工类1
837,0.09,0.93,6,308,4,0,0,RandD,low,1,员工类2,员工类2
838,0.81,0.9,5,238,6,0,0,marketing,low,1,员工类3,员工类3
839,0.37,0.53,2,126,3,0,0,sales,low,1,员工类1,员工类1
840,0.36,0.56,2,138,3,0,0,accounting,medium,1,员工类1,员工类1
841,0.11,0.85,6,299,4,0,0,support,medium,1,员工类2,员工类2
842,0.1,0.85,6,254,4,0,0,technical,medium,1,员工类2,员工类2
843,0.66,0.47,7,156,2,0,0,management,medium,1,杂类,杂类
844,0.39,0.47,2,152,3,0,0,marketing,medium,1,员工类1,员工类1
845,0.44,0.51,2,146,3,0,0,marketing,medium,1,员工类1,员工类1
846,0.1,0.84,6,253,4,0,0,marketing,medium,1,员工类2,员工类2
847,0.79,0.94,5,227,6,0,0,sales,medium,1,员工类3,员工类3
848,0.1,0.81,6,301,4,1,0,sales,medium,1,员工类2,员工类2
849,0.54,0.94,6,294,3,0,0,sales,medium,1,杂类,员工类2
850,0.37,0.47,2,151,3,0,0,sales,medium,1,员工类1,员工类1
851,0.37,0.57,2,128,3,0,0,sales,medium,1,员工类1,员工类1
852,0.82,0.89,5,217,5,0,0,sales,high,1,员工类3,员工类3
853,0.45,0.52,2,160,3,0,0,sales,low,1,员工类1,员工类1
854,0.79,0.9,5,263,5,0,0,sales,medium,1,员工类3,员工类3
855,0.42,0.56,2,156,3,0,0,sales,medium,1,员工类1,员工类1
856,0.1,0.85,6,273,4,0,0,sales,medium,1,员工类2,员工类2
857,0.11,0.78,6,303,4,0,0,sales,medium,1,员工类2,员工类2
858,0.74,1.0,4,253,5,0,0,sales,low,1,员工类3,员工类3
859,0.1,0.93,6,270,4,0,0,sales,low,1,员工类2,员工类2
860,0.79,1.0,4,218,5,0,0,sales,low,1,员工类3,员工类3
861,0.43,0.48,2,144,3,0,0,sales,low,1,员工类1,员工类1
862,0.41,0.47,2,154,3,0,0,sales,low,1,员工类1,员工类1
863,0.39,0.55,2,146,3,0,0,sales,low,1,员工类1,员工类1
864,0.1,0.94,6,260,4,0,0,sales,low,1,员工类2,员工类2
865,0.82,0.85,5,218,5,0,0,sales,low,1,员工类3,员工类3
866,0.41,0.46,2,128,3,0,0,accounting,low,1,员工类1,员工类1
867,0.42,0.56,2,128,3,0,0,accounting,low,1,员工类1,员工类1
868,0.74,0.88,4,248,6,0,0,accounting,low,1,员工类3,员工类3
869,0.38,0.57,2,152,3,1,0,hr,low,1,员工类1,员工类1
870,0.39,0.56,2,126,3,0,0,hr,low,1,员工类1,员工类1
871,0.87,0.94,4,260,5,0,0,hr,low,1,员工类3,员工类3
872,0.1,0.9,5,263,4,0,0,hr,low,1,员工类2,员工类2
873,0.78,1.0,5,220,5,0,0,technical,low,1,员工类3,员工类3
874,0.14,0.73,7,282,5,0,0,technical,low,1,员工类2,员工类2
875,0.11,0.94,6,277,5,0,0,technical,low,1,员工类2,员工类2
876,0.91,0.94,5,257,5,0,0,technical,low,1,员工类3,员工类3
877,0.49,0.63,6,265,3,0,0,technical,low,1,杂类,杂类
878,0.38,0.47,2,143,3,0,0,technical,low,1,员工类1,员工类1
879,0.82,0.97,5,263,5,0,0,technical,medium,1,员工类3,员工类3
880,0.38,0.88,3,154,4,0,0,technical,medium,1,杂类,杂类
881,0.89,1.0,5,253,5,0,0,technical,medium,1,员工类3,员工类3
882,0.11,0.79,6,294,4,0,0,technical,medium,1,员工类2,员工类2
883,0.37,0.51,2,128,3,0,0,technical,medium,1,员工类1,员工类1
884,0.38,0.5,2,153,3,0,0,support,medium,1,员工类1,员工类1
885,0.78,0.87,5,256,5,0,0,support,medium,1,员工类3,员工类3
886,0.41,0.51,2,127,3,0,0,support,medium,1,员工类1,员工类1
887,0.41,0.51,2,137,3,0,0,support,medium,1,员工类1,员工类1
888,0.11,0.83,6,295,4,0,0,support,medium,1,员工类2,员工类2
889,0.11,0.79,6,281,4,0,0,support,medium,1,员工类2,员工类2
890,0.43,0.57,2,131,3,1,0,support,medium,1,员工类1,员工类1
891,0.75,0.86,5,237,5,0,0,support,high,1,员工类3,员工类3
892,0.74,0.99,4,276,5,0,0,support,low,1,员工类3,员工类3
893,0.85,0.85,5,267,5,0,0,support,medium,1,员工类3,员工类3
894,0.73,0.92,5,266,5,0,0,support,medium,1,员工类3,员工类3
895,0.1,0.79,6,294,4,0,0,technical,medium,1,员工类2,员工类2
896,0.44,0.56,2,134,3,0,0,technical,medium,1,员工类1,员工类1
897,0.3,0.56,3,309,4,1,0,technical,low,1,杂类,杂类
898,0.11,0.77,7,273,4,0,0,management,low,1,员工类2,员工类2
899,0.84,0.83,5,238,5,0,0,IT,low,1,员工类3,员工类3
900,0.78,0.94,5,271,6,0,0,IT,low,1,员工类3,员工类3
901,0.43,0.53,2,145,3,0,0,IT,low,1,员工类1,员工类1
902,0.36,0.55,2,152,3,0,0,IT,low,1,员工类1,员工类1
903,0.43,0.47,2,128,3,0,0,IT,low,1,员工类1,员工类1
904,0.45,0.46,2,142,3,0,0,product_mng,low,1,员工类1,员工类1
905,0.76,0.93,5,238,5,0,0,product_mng,low,1,员工类3,员工类3
906,0.1,0.78,7,286,4,0,0,product_mng,low,1,员工类2,员工类2
907,0.09,0.86,6,291,4,0,0,product_mng,low,1,员工类2,员工类2
908,0.92,1.0,5,259,5,0,0,IT,low,1,员工类3,员工类3
909,0.92,0.9,5,248,5,0,0,sales,low,1,员工类3,员工类3
910,0.79,0.98,4,271,5,0,0,sales,low,1,员工类3,员工类3
911,0.43,0.51,2,140,3,0,0,sales,low,1,员工类1,员工类1
912,0.8,0.95,4,274,5,0,0,sales,low,1,员工类3,员工类3
913,0.44,0.49,2,127,3,1,0,sales,low,1,员工类1,员工类1
914,0.89,0.87,5,275,6,0,0,marketing,low,1,员工类3,员工类3
915,0.48,0.88,3,239,3,0,0,sales,low,1,杂类,杂类
916,0.11,0.82,6,304,4,1,0,accounting,low,1,员工类2,员工类2
917,0.38,0.55,2,145,3,0,0,support,low,1,员工类1,员工类1
918,0.11,0.85,6,259,4,0,0,technical,medium,1,员工类2,员工类2
919,0.82,0.86,4,264,5,0,0,management,medium,1,员工类3,员工类3
920,0.37,0.45,2,160,3,0,0,marketing,medium,1,员工类1,员工类1
921,0.4,0.48,2,138,3,0,0,marketing,medium,1,员工类1,员工类1
922,0.43,0.47,2,137,3,0,0,marketing,medium,1,员工类1,员工类1
923,0.44,0.5,2,156,3,0,0,sales,medium,1,员工类1,员工类1
924,0.42,0.56,2,147,3,0,0,sales,medium,1,员工类1,员工类1
925,0.11,0.8,7,243,4,0,0,sales,medium,1,员工类2,员工类2
926,0.78,0.87,4,236,5,0,0,sales,medium,1,员工类3,员工类3
927,0.46,0.86,2,212,4,0,0,sales,medium,1,杂类,杂类
928,0.77,0.91,5,261,6,0,0,sales,medium,1,员工类3,员工类3
929,0.83,0.82,4,243,5,0,0,sales,medium,1,员工类3,员工类3
930,0.32,0.58,5,271,5,0,0,sales,high,1,杂类,员工类2
931,0.9,0.92,5,154,4,0,0,sales,low,1,杂类,员工类3
932,0.42,0.52,2,151,3,0,0,sales,medium,1,员工类1,员工类1
933,0.1,0.96,6,254,4,1,0,sales,medium,1,员工类2,员工类2
934,0.1,0.91,6,285,4,0,0,sales,medium,1,员工类2,员工类2
935,0.44,0.49,2,130,3,0,0,sales,medium,1,员工类1,员工类1
936,0.1,0.95,7,301,4,0,0,sales,low,1,员工类2,员工类2
937,0.11,0.8,6,286,4,0,0,sales,low,1,员工类2,员工类2
938,0.1,0.89,6,246,4,0,0,sales,low,1,员工类2,员工类2
939,0.39,0.47,2,135,3,0,0,sales,low,1,员工类1,员工类1
940,0.92,0.92,4,245,5,0,0,sales,low,1,员工类3,员工类3
941,0.43,0.56,2,136,3,0,0,sales,low,1,员工类1,员工类1
942,0.11,0.89,6,301,4,0,0,accounting,low,1,员工类2,员工类2
943,0.81,1.0,5,235,5,0,0,accounting,low,1,员工类3,员工类3
944,0.11,0.85,7,272,4,0,0,accounting,low,1,员工类2,员工类2
945,0.87,1.0,5,274,5,0,0,hr,low,1,员工类3,员工类3
946,0.37,0.46,2,131,3,0,0,hr,low,1,员工类1,员工类1
947,0.39,0.56,2,135,3,0,0,hr,low,1,员工类1,员工类1
948,0.61,0.86,4,196,4,0,0,hr,low,1,杂类,杂类
949,0.11,0.95,6,285,4,0,0,technical,low,1,员工类2,员工类2
950,0.09,0.9,7,289,5,0,0,technical,low,1,员工类2,员工类2
951,0.36,0.52,2,157,3,0,0,technical,low,1,员工类1,员工类1
952,0.09,0.94,6,308,4,0,0,technical,low,1,员工类2,员工类2
953,0.41,0.71,4,301,5,0,0,technical,low,1,杂类,员工类2
954,0.4,0.46,2,131,3,0,0,technical,low,1,员工类1,员工类1
955,0.1,0.91,6,262,5,1,0,technical,low,1,员工类2,员工类2
956,0.46,0.53,2,143,3,1,0,technical,low,1,员工类1,员工类1
957,0.39,0.57,2,133,3,0,0,technical,medium,1,员工类1,员工类1
958,0.41,0.5,2,153,3,0,0,technical,medium,1,员工类1,员工类1
959,0.1,0.94,7,281,4,0,0,technical,medium,1,员工类2,员工类2
960,0.39,0.51,2,132,3,0,0,support,medium,1,员工类1,员工类1
961,0.73,0.83,5,270,5,1,0,support,medium,1,员工类3,员工类3
962,0.41,0.45,2,150,3,0,0,support,medium,1,员工类1,员工类1
963,0.37,0.51,2,140,3,0,0,support,medium,1,员工类1,员工类1
964,0.38,0.5,2,150,3,1,0,support,medium,1,员工类1,员工类1
965,0.8,0.63,5,180,5,0,0,support,medium,1,杂类,员工类3
966,0.09,0.85,5,281,4,0,0,support,medium,1,员工类2,员工类2
967,0.85,0.92,4,275,5,0,0,support,medium,1,员工类3,员工类3
968,0.42,0.54,2,130,3,0,0,support,medium,1,员工类1,员工类1
969,0.41,0.48,2,130,3,0,0,support,high,1,员工类1,员工类1
970,0.38,0.46,2,147,3,0,0,support,low,1,员工类1,员工类1
971,0.72,1.0,5,264,5,0,0,technical,medium,1,员工类3,员工类3
972,0.11,0.74,6,290,5,0,0,technical,medium,1,员工类2,员工类2
973,0.37,0.47,2,150,3,0,0,technical,medium,1,员工类1,员工类1
974,0.1,0.81,6,304,4,0,0,management,medium,1,员工类2,员工类2
975,0.36,0.54,2,136,3,0,0,IT,low,1,员工类1,员工类1
976,0.92,0.94,5,307,5,0,0,IT,low,1,员工类3,员工类3
977,0.11,0.87,5,303,4,0,0,IT,low,1,员工类2,员工类2
978,0.39,0.56,2,156,3,0,0,IT,low,1,员工类1,员工类1
979,0.11,0.95,6,271,4,0,0,IT,low,1,员工类2,员工类2
980,0.45,0.45,2,140,3,0,0,product_mng,low,1,员工类1,员工类1
981,0.44,0.55,2,130,3,1,0,product_mng,low,1,员工类1,员工类1
982,0.85,0.97,4,266,6,0,0,product_mng,low,1,员工类3,员工类3
983,0.43,0.52,2,139,3,0,0,product_mng,low,1,员工类1,员工类1
984,0.75,0.86,5,260,5,0,0,IT,low,1,员工类3,员工类3
985,0.11,0.55,2,137,3,1,0,RandD,low,1,员工类1,员工类1
986,0.36,0.5,2,158,3,0,0,RandD,low,1,员工类1,员工类1
987,0.1,0.79,6,249,4,0,0,RandD,low,1,员工类2,员工类2
988,0.74,0.89,5,259,5,0,0,RandD,low,1,员工类3,员工类3
989,0.4,0.46,2,144,3,0,0,RandD,low,1,员工类1,员工类1
990,0.09,0.77,6,244,4,0,0,marketing,low,1,员工类2,员工类2
991,0.76,0.91,4,219,5,0,0,sales,low,1,员工类3,员工类3
992,0.45,0.57,2,151,3,0,0,accounting,low,1,员工类1,员工类1
993,0.84,0.88,4,269,5,0,0,support,low,1,员工类3,员工类3
994,0.38,0.45,2,127,3,0,0,technical,low,1,员工类1,员工类1
995,0.38,0.46,2,144,3,0,0,management,low,1,员工类1,员工类1
996,0.38,0.54,2,157,3,0,0,marketing,medium,1,员工类1,员工类1
997,0.86,0.94,5,224,5,0,0,marketing,medium,1,员工类3,员工类3
998,0.37,0.46,2,155,3,0,0,marketing,medium,1,员工类1,员工类1
999,0.37,0.5,2,131,3,0,0,sales,medium,1,员工类1,员工类1
1000,0.87,1.0,4,258,5,1,1,sales,medium,1,员工类3,员工类3
1001,0.11,0.85,6,267,4,0,0,sales,medium,1,员工类2,员工类2
1002,0.42,0.5,2,141,3,0,0,sales,medium,1,员工类1,员工类1
1003,0.43,0.48,2,160,3,0,0,sales,medium,1,员工类1,员工类1
1004,0.09,0.8,6,247,4,0,0,sales,medium,1,员工类2,员工类2
1005,0.54,0.56,4,260,3,0,0,sales,medium,1,杂类,杂类
1006,0.4,0.47,2,151,3,0,0,sales,medium,1,员工类1,员工类1
1007,0.36,0.52,2,137,3,1,0,sales,medium,1,员工类1,员工类1
1008,0.87,0.9,4,256,5,0,0,sales,high,1,员工类3,员工类3
1009,0.75,0.88,4,239,5,0,0,sales,low,1,员工类3,员工类3
1010,0.43,0.53,2,152,3,0,0,sales,medium,1,员工类1,员工类1
1011,0.43,0.47,2,149,3,0,0,sales,medium,1,员工类1,员工类1
1012,0.1,0.87,6,284,4,0,0,sales,medium,1,员工类2,员工类2
1013,0.11,0.78,7,248,4,0,0,sales,medium,1,员工类2,员工类2
1014,0.44,0.53,2,156,3,0,0,sales,low,1,员工类1,员工类1
1015,0.39,0.48,2,138,3,0,0,sales,low,1,员工类1,员工类1
1016,0.4,0.55,2,155,3,0,0,sales,low,1,员工类1,员工类1
1017,0.92,0.87,4,229,6,0,0,sales,low,1,员工类3,员工类3
1018,0.36,0.47,2,136,3,0,0,accounting,low,1,员工类1,员工类1
1019,0.86,0.95,4,241,5,0,0,accounting,low,1,员工类3,员工类3
1020,0.74,0.87,5,258,5,0,0,accounting,low,1,员工类3,员工类3
1021,0.8,0.95,3,146,5,0,0,hr,low,1,杂类,员工类3
1022,0.36,0.48,2,145,3,0,0,hr,low,1,员工类1,员工类1
1023,0.42,0.57,2,159,3,0,0,hr,low,1,员工类1,员工类1
1024,0.42,0.47,2,129,3,0,0,hr,low,1,员工类1,员工类1
1025,0.4,0.45,2,142,3,0,0,technical,low,1,员工类1,员工类1
1026,0.46,0.53,2,129,3,0,0,technical,low,1,员工类1,员工类1
1027,0.09,0.9,6,287,4,0,0,technical,low,1,员工类2,员工类2
1028,0.88,0.89,4,275,5,0,0,technical,low,1,员工类3,员工类3
1029,0.1,0.82,6,272,4,0,0,technical,low,1,员工类2,员工类2
1030,0.1,0.97,6,307,4,0,0,technical,low,1,员工类2,员工类2
1031,0.11,0.93,4,295,3,0,0,technical,low,1,杂类,员工类2
1032,0.84,0.88,5,237,5,0,0,technical,low,1,员工类3,员工类3
1033,0.42,0.56,2,158,3,0,0,technical,low,1,员工类1,员工类1
1034,0.1,0.86,6,266,4,1,0,technical,low,1,员工类2,员工类2
1035,0.1,0.95,6,256,4,0,0,technical,medium,1,员工类2,员工类2
1036,0.46,0.54,2,158,3,0,0,support,medium,1,员工类1,员工类1
1037,0.09,0.97,7,268,4,0,0,support,medium,1,员工类2,员工类2
1038,0.89,1.0,4,237,5,0,0,support,medium,1,员工类3,员工类3
1039,0.82,1.0,4,273,6,0,0,support,medium,1,员工类3,员工类3
1040,0.11,0.89,6,309,4,0,0,support,medium,1,员工类2,员工类2
1041,0.81,0.84,5,258,5,0,0,support,medium,1,员工类3,员工类3
1042,0.81,0.94,5,233,6,0,0,support,medium,1,员工类3,员工类3
1043,0.77,1.0,4,249,6,0,0,support,medium,1,员工类3,员工类3
1044,0.63,0.94,3,179,2,0,0,support,medium,1,杂类,杂类
1045,0.4,0.57,2,128,3,0,0,support,medium,1,员工类1,员工类1
1046,0.86,1.0,4,250,6,0,0,support,medium,1,员工类3,员工类3
1047,0.37,0.49,2,151,3,0,0,technical,high,1,员工类1,员工类1
1048,0.44,0.5,2,132,3,0,0,technical,low,1,员工类1,员工类1
1049,0.74,0.89,5,232,6,0,0,technical,medium,1,员工类3,员工类3
1050,0.79,1.0,4,229,5,1,0,management,medium,1,员工类3,员工类3
1051,0.09,0.92,6,261,4,0,0,IT,medium,1,员工类2,员工类2
1052,0.37,0.48,2,129,3,0,0,IT,medium,1,员工类1,员工类1
1053,0.09,0.78,6,244,4,0,0,IT,low,1,员工类2,员工类2
1054,0.09,0.84,6,258,4,0,0,IT,low,1,员工类2,员工类2
1055,0.1,0.8,7,292,5,0,0,IT,low,1,员工类2,员工类2
1056,0.45,0.56,2,143,3,0,0,product_mng,low,1,员工类1,员工类1
1057,0.4,0.51,2,136,3,0,0,product_mng,low,1,员工类1,员工类1
1058,0.31,0.95,6,235,5,0,0,product_mng,low,1,员工类2,员工类2
1059,0.7,0.93,2,310,3,0,0,product_mng,low,1,杂类,杂类
1060,0.36,0.48,2,152,3,0,0,IT,low,1,员工类1,员工类1
1061,0.34,0.97,6,157,5,1,0,RandD,low,1,杂类,员工类2
1062,0.87,0.83,5,267,5,0,0,RandD,low,1,员工类3,员工类3
1063,0.11,0.91,6,302,4,0,0,RandD,low,1,员工类2,员工类2
1064,0.47,0.81,4,133,3,0,0,RandD,low,1,杂类,杂类
1065,0.43,0.52,2,142,3,0,0,RandD,low,1,员工类1,员工类1
1066,0.43,0.47,2,129,3,0,0,marketing,low,1,员工类1,员工类1
1067,0.45,0.57,2,136,3,0,0,sales,low,1,员工类1,员工类1
1068,0.74,1.0,5,223,5,0,0,accounting,low,1,员工类3,员工类3
1069,0.1,0.89,6,244,4,1,0,support,low,1,员工类2,员工类2
1070,0.78,0.87,5,243,5,0,0,technical,low,1,员工类3,员工类3
1071,0.9,0.95,5,275,3,0,0,management,low,1,杂类,杂类
1072,0.53,0.95,6,205,4,0,0,marketing,low,1,杂类,杂类
1073,0.45,0.54,2,154,3,0,0,marketing,low,1,员工类1,员工类1
1074,0.86,0.83,4,270,5,0,0,marketing,medium,1,员工类3,员工类3
1075,0.74,0.89,4,267,5,0,0,sales,medium,1,员工类3,员工类3
1076,0.09,0.79,6,276,4,0,0,sales,medium,1,员工类2,员工类2
1077,0.8,0.95,5,244,5,0,0,sales,medium,1,员工类3,员工类3
1078,0.46,0.53,2,128,3,0,0,sales,medium,1,员工类1,员工类1
1079,0.86,0.95,5,269,6,0,0,sales,medium,1,员工类3,员工类3
1080,0.86,0.95,4,238,5,0,0,sales,medium,1,员工类3,员工类3
1081,0.9,0.91,4,269,5,0,0,sales,medium,1,员工类3,员工类3
1082,0.87,0.88,5,231,6,0,0,sales,medium,1,员工类3,员工类3
1083,0.83,0.94,4,267,5,0,0,sales,medium,1,员工类3,员工类3
1084,0.77,0.83,4,245,5,0,0,sales,medium,1,员工类3,员工类3
1085,0.77,1.0,4,272,5,0,0,sales,medium,1,员工类3,员工类3
1086,0.9,0.86,5,254,5,0,0,sales,high,1,员工类3,员工类3
1087,0.73,0.92,4,273,5,0,0,sales,low,1,员工类3,员工类3
1088,0.91,0.9,4,250,5,0,0,sales,medium,1,员工类3,员工类3
1089,0.36,0.53,2,133,3,0,0,sales,medium,1,员工类1,员工类1
1090,0.38,0.54,2,150,3,0,0,sales,medium,1,员工类1,员工类1
1091,0.44,0.46,2,157,3,0,0,sales,medium,1,员工类1,员工类1
1092,0.73,1.0,5,230,5,0,0,sales,low,1,员工类3,员工类3
1093,0.89,0.91,5,260,5,0,0,sales,low,1,员工类3,员工类3
1094,0.11,0.77,6,275,4,0,0,accounting,low,1,员工类2,员工类2
1095,0.1,0.77,7,308,4,0,0,accounting,low,1,员工类2,员工类2
1096,0.37,0.46,2,129,3,0,0,accounting,low,1,员工类1,员工类1
1097,0.38,0.48,2,134,3,0,0,hr,low,1,员工类1,员工类1
1098,0.42,0.48,2,132,3,0,0,hr,low,1,员工类1,员工类1
1099,0.44,0.46,2,153,3,0,0,hr,low,1,员工类1,员工类1
1100,0.11,0.83,6,262,4,0,0,hr,low,1,员工类2,员工类2
1101,0.09,0.97,7,262,4,0,0,technical,low,1,员工类2,员工类2
1102,0.43,0.47,2,130,3,0,0,technical,low,1,员工类1,员工类1
1103,0.38,0.52,2,156,3,0,0,technical,low,1,员工类1,员工类1
1104,0.11,0.89,6,254,4,0,0,technical,low,1,员工类2,员工类2
1105,0.37,0.49,2,130,3,0,0,technical,low,1,员工类1,员工类1
1106,0.44,0.57,2,139,3,0,0,technical,low,1,员工类1,员工类1
1107,0.72,0.82,5,269,5,0,0,technical,low,1,员工类3,员工类3
1108,0.1,0.91,7,297,4,0,0,technical,low,1,员工类2,员工类2
1109,0.73,0.86,5,249,5,0,0,technical,low,1,员工类3,员工类3
1110,0.09,0.82,7,267,4,0,0,technical,low,1,员工类2,员工类2
1111,0.44,0.46,2,149,3,0,0,technical,low,1,员工类1,员工类1
1112,0.09,0.82,6,251,4,0,0,support,low,1,员工类2,员工类2
1113,0.1,0.87,6,306,4,0,0,support,medium,1,员工类2,员工类2
1114,0.11,0.86,6,279,4,0,0,support,medium,1,员工类2,员工类2
1115,0.42,0.46,2,131,3,0,0,support,medium,1,员工类1,员工类1
1116,0.09,0.85,6,260,4,0,0,support,medium,1,员工类2,员工类2
1117,0.72,0.88,5,249,5,0,0,support,medium,1,员工类3,员工类3
1118,0.75,0.97,4,245,5,0,0,support,medium,1,员工类3,员工类3
1119,0.44,0.5,2,138,3,0,0,support,medium,1,员工类1,员工类1
1120,0.11,0.91,6,278,4,0,0,support,medium,1,员工类2,员工类2
1121,0.38,0.47,2,147,3,0,0,support,medium,1,员工类1,员工类1
1122,0.39,0.57,2,131,3,0,0,support,medium,1,员工类1,员工类1
1123,0.1,0.9,7,301,4,0,0,technical,medium,1,员工类2,员工类2
1124,0.43,0.52,2,141,3,0,0,technical,medium,1,员工类1,员工类1
1125,0.39,0.57,2,158,3,0,0,technical,high,1,员工类1,员工类1
1126,0.88,0.87,4,235,6,0,0,management,low,1,员工类3,员工类3
1127,0.1,0.85,7,261,4,0,0,IT,medium,1,员工类2,员工类2
1128,0.1,0.89,5,270,4,0,0,IT,medium,1,员工类2,员工类2
1129,0.11,0.93,6,290,4,0,0,IT,medium,1,员工类2,员工类2
1130,0.37,0.47,2,149,3,0,0,IT,medium,1,员工类1,员工类1
1131,0.37,0.48,2,160,3,0,0,IT,low,1,员工类1,员工类1
1132,0.77,0.87,4,150,4,0,0,product_mng,low,1,杂类,杂类
1133,0.91,0.94,5,218,6,0,0,product_mng,low,1,员工类3,员工类3
1134,0.46,0.51,2,155,3,0,0,product_mng,low,1,员工类1,员工类1
1135,0.11,0.87,6,291,4,0,0,product_mng,low,1,员工类2,员工类2
1136,0.86,0.91,5,265,5,0,0,IT,low,1,员工类3,员工类3
1137,0.87,0.88,5,262,6,0,0,sales,low,1,员工类3,员工类3
1138,0.09,0.92,6,303,5,0,0,sales,low,1,员工类2,员工类2
1139,0.42,0.46,2,132,3,0,0,sales,low,1,员工类1,员工类1
1140,0.82,0.83,4,245,5,1,0,sales,low,1,员工类3,员工类3
1141,0.46,0.48,2,129,3,0,0,sales,low,1,员工类1,员工类1
1142,0.88,1.0,5,226,6,0,0,marketing,low,1,员工类3,员工类3
1143,0.1,0.91,6,286,4,0,0,marketing,low,1,员工类2,员工类2
1144,0.43,0.45,2,140,3,0,0,sales,low,1,员工类1,员工类1
1145,0.37,0.49,2,153,3,0,0,accounting,low,1,员工类1,员工类1
1146,0.8,0.95,5,217,5,0,0,support,low,1,员工类3,员工类3
1147,0.83,0.95,5,258,5,0,0,technical,low,1,员工类3,员工类3
1148,0.39,0.57,2,156,3,0,0,management,low,1,员工类1,员工类1
1149,0.77,0.92,5,255,5,0,0,marketing,low,1,员工类3,员工类3
1150,0.43,0.46,2,129,3,0,0,marketing,low,1,员工类1,员工类1
1151,0.79,0.96,4,234,5,0,0,marketing,low,1,员工类3,员工类3
1152,0.39,0.55,2,152,3,1,0,sales,medium,1,员工类1,员工类1
1153,0.1,0.88,7,300,4,0,0,sales,medium,1,员工类2,员工类2
1154,0.39,0.53,2,131,3,0,0,sales,medium,1,员工类1,员工类1
1155,0.11,0.89,6,301,4,0,0,sales,medium,1,员工类2,员工类2
1156,0.4,0.51,2,156,3,0,0,sales,medium,1,员工类1,员工类1
1157,0.42,0.52,2,141,3,1,0,sales,medium,1,员工类1,员工类1
1158,0.57,0.85,4,219,2,1,0,sales,medium,1,杂类,杂类
1159,0.11,0.95,7,269,5,0,0,sales,medium,1,员工类2,员工类2
1160,0.36,0.73,4,276,2,0,0,sales,medium,1,杂类,杂类
1161,0.11,0.94,7,302,4,0,0,sales,medium,1,员工类2,员工类2
1162,0.35,0.8,6,281,2,0,0,sales,medium,1,杂类,杂类
1163,0.78,0.99,5,241,5,0,0,sales,medium,1,员工类3,员工类3
1164,0.11,0.93,7,288,4,0,0,sales,high,1,员工类2,员工类2
1165,0.1,0.96,6,303,4,0,0,sales,low,1,员工类2,员工类2
1166,0.42,0.54,2,135,3,0,0,sales,medium,1,员工类1,员工类1
1167,0.43,0.5,2,127,3,1,0,sales,medium,1,员工类1,员工类1
1168,0.79,0.84,5,245,5,0,0,sales,medium,1,员工类3,员工类3
1169,0.45,0.45,2,145,3,0,0,sales,medium,1,员工类1,员工类1
1170,0.09,0.91,6,248,4,0,0,sales,low,1,员工类2,员工类2
1171,0.11,0.91,6,302,4,0,0,accounting,low,1,员工类2,员工类2
1172,0.45,0.49,2,144,3,0,0,accounting,low,1,员工类1,员工类1
1173,0.11,0.91,6,272,4,0,0,accounting,low,1,员工类2,员工类2
1174,0.09,0.8,6,294,4,0,0,hr,low,1,员工类2,员工类2
1175,0.78,0.71,4,296,3,0,0,hr,low,1,杂类,杂类
1176,0.38,0.5,2,151,3,1,0,hr,low,1,员工类1,员工类1
1177,0.82,0.82,4,249,5,0,0,hr,low,1,员工类3,员工类3
